,PassengerId,Survived,Pclass,Sex-Male,Age,SibSp,Parch,Fare,Cabin-A,Cabin-B,Cabin-C,Cabin-D,Cabin-E,Cabin-F,Cabin-G,Cabin_Count,Embarked-C,Embarked-Q,Embarked-S
0,1,0,3,1,22.0,1,0,7.25,0,0,0,0,0,0,0,0,0,0,1
1,2,1,1,0,38.0,1,0,71.2833,0,0,1,0,0,0,0,0,1,0,0
2,3,1,3,0,26.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0,1
3,4,1,1,0,35.0,1,0,53.1,0,0,1,0,0,0,0,0,0,0,1
4,5,0,3,1,35.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
5,6,0,3,1,29.69911764705882,0,0,8.4583,0,0,0,0,0,0,0,0,0,1,0
6,7,0,1,1,54.0,0,0,51.8625,0,0,0,0,1,0,0,0,0,0,1
7,8,0,3,1,2.0,3,1,21.075,0,0,0,0,0,0,0,0,0,0,1
8,9,1,3,0,27.0,0,2,11.1333,0,0,0,0,0,0,0,0,0,0,1
9,10,1,2,0,14.0,1,0,30.0708,0,0,0,0,0,0,0,0,1,0,0
10,11,1,3,0,4.0,1,1,16.7,0,0,0,0,0,0,1,0,0,0,1
11,12,1,1,0,58.0,0,0,26.55,0,0,1,0,0,0,0,0,0,0,1
12,13,0,3,1,20.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
13,14,0,3,1,39.0,1,5,31.275,0,0,0,0,0,0,0,0,0,0,1
14,15,0,3,0,14.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,0,1
15,16,1,2,0,55.0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,1
16,17,0,3,1,2.0,4,1,29.125,0,0,0,0,0,0,0,0,0,1,0
17,18,1,2,1,29.69911764705882,0,0,13.0,0,0,0,0,0,0,0,0,0,0,1
18,19,0,3,0,31.0,1,0,18.0,0,0,0,0,0,0,0,0,0,0,1
19,20,1,3,0,29.69911764705882,0,0,7.225,0,0,0,0,0,0,0,0,1,0,0
20,21,0,2,1,35.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,1
21,22,1,2,1,34.0,0,0,13.0,0,0,0,1,0,0,0,0,0,0,1
22,23,1,3,0,15.0,0,0,8.0292,0,0,0,0,0,0,0,0,0,1,0
23,24,1,1,1,28.0,0,0,35.5,1,0,0,0,0,0,0,0,0,0,1
24,25,0,3,0,8.0,3,1,21.075,0,0,0,0,0,0,0,0,0,0,1
25,26,1,3,0,38.0,1,5,31.3875,0,0,0,0,0,0,0,0,0,0,1
26,27,0,3,1,29.69911764705882,0,0,7.225,0,0,0,0,0,0,0,0,1,0,0
27,28,0,1,1,19.0,3,2,263.0,0,0,1,0,0,0,0,2,0,0,1
28,29,1,3,0,29.69911764705882,0,0,7.8792,0,0,0,0,0,0,0,0,0,1,0
29,30,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1
30,31,0,1,1,40.0,0,0,27.7208,0,0,0,0,0,0,0,0,1,0,0
31,32,1,1,0,29.69911764705882,1,0,146.5208,0,1,0,0,0,0,0,0,1,0,0
32,33,1,3,0,29.69911764705882,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0
33,34,0,2,1,66.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,1
34,35,0,1,1,28.0,1,0,82.1708,0,0,0,0,0,0,0,0,1,0,0
35,36,0,1,1,42.0,1,0,52.0,0,0,0,0,0,0,0,0,0,0,1
36,37,1,3,1,29.69911764705882,0,0,7.2292,0,0,0,0,0,0,0,0,1,0,0
37,38,0,3,1,21.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
38,39,0,3,0,18.0,2,0,18.0,0,0,0,0,0,0,0,0,0,0,1
39,40,1,3,0,14.0,1,0,11.2417,0,0,0,0,0,0,0,0,1,0,0
40,41,0,3,0,40.0,1,0,9.475,0,0,0,0,0,0,0,0,0,0,1
41,42,0,2,0,27.0,1,0,21.0,0,0,0,0,0,0,0,0,0,0,1
42,43,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,1,0,0
43,44,1,2,0,3.0,1,2,41.5792,0,0,0,0,0,0,0,0,1,0,0
44,45,1,3,0,19.0,0,0,7.8792,0,0,0,0,0,0,0,0,0,1,0
45,46,0,3,1,29.69911764705882,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
46,47,0,3,1,29.69911764705882,1,0,15.5,0,0,0,0,0,0,0,0,0,1,0
47,48,1,3,0,29.69911764705882,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0
48,49,0,3,1,29.69911764705882,2,0,21.6792,0,0,0,0,0,0,0,0,1,0,0
49,50,0,3,0,18.0,1,0,17.8,0,0,0,0,0,0,0,0,0,0,1
50,51,0,3,1,7.0,4,1,39.6875,0,0,0,0,0,0,0,0,0,0,1
51,52,0,3,1,21.0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,1
52,53,1,1,0,49.0,1,0,76.7292,0,0,0,1,0,0,0,0,1,0,0
53,54,1,2,0,29.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,1
54,55,0,1,1,65.0,0,1,61.9792,0,1,0,0,0,0,0,0,1,0,0
55,56,1,1,1,29.69911764705882,0,0,35.5,0,0,1,0,0,0,0,0,0,0,1
56,57,1,2,0,21.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,1
57,58,0,3,1,28.5,0,0,7.2292,0,0,0,0,0,0,0,0,1,0,0
58,59,1,2,0,5.0,1,2,27.75,0,0,0,0,0,0,0,0,0,0,1
59,60,0,3,1,11.0,5,2,46.9,0,0,0,0,0,0,0,0,0,0,1
60,61,0,3,1,22.0,0,0,7.2292,0,0,0,0,0,0,0,0,1,0,0
61,62,1,1,0,38.0,0,0,80.0,0,1,0,0,0,0,0,0,0,0,0
62,63,0,1,1,45.0,1,0,83.475,0,0,1,0,0,0,0,0,0,0,1
63,64,0,3,1,4.0,3,2,27.9,0,0,0,0,0,0,0,0,0,0,1
64,65,0,1,1,29.69911764705882,0,0,27.7208,0,0,0,0,0,0,0,0,1,0,0
65,66,1,3,1,29.69911764705882,1,1,15.2458,0,0,0,0,0,0,0,0,1,0,0
66,67,1,2,0,29.0,0,0,10.5,0,0,0,0,0,1,0,0,0,0,1
67,68,0,3,1,19.0,0,0,8.1583,0,0,0,0,0,0,0,0,0,0,1
68,69,1,3,0,17.0,4,2,7.925,0,0,0,0,0,0,0,0,0,0,1
69,70,0,3,1,26.0,2,0,8.6625,0,0,0,0,0,0,0,0,0,0,1
70,71,0,2,1,32.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,1
71,72,0,3,0,16.0,5,2,46.9,0,0,0,0,0,0,0,0,0,0,1
72,73,0,2,1,21.0,0,0,73.5,0,0,0,0,0,0,0,0,0,0,1
73,74,0,3,1,26.0,1,0,14.4542,0,0,0,0,0,0,0,0,1,0,0
74,75,1,3,1,32.0,0,0,56.4958,0,0,0,0,0,0,0,0,0,0,1
75,76,0,3,1,25.0,0,0,7.65,0,0,0,0,0,1,1,1,0,0,1
76,77,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1
77,78,0,3,1,29.69911764705882,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
78,79,1,2,1,0.83,0,2,29.0,0,0,0,0,0,0,0,0,0,0,1
79,80,1,3,0,30.0,0,0,12.475,0,0,0,0,0,0,0,0,0,0,1
80,81,0,3,1,22.0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,1
81,82,1,3,1,29.0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,1
82,83,1,3,0,29.69911764705882,0,0,7.7875,0,0,0,0,0,0,0,0,0,1,0
83,84,0,1,1,28.0,0,0,47.1,0,0,0,0,0,0,0,0,0,0,1
84,85,1,2,0,17.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,1
85,86,1,3,0,33.0,3,0,15.85,0,0,0,0,0,0,0,0,0,0,1
86,87,0,3,1,16.0,1,3,34.375,0,0,0,0,0,0,0,0,0,0,1
87,88,0,3,1,29.69911764705882,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
88,89,1,1,0,23.0,3,2,263.0,0,0,1,0,0,0,0,2,0,0,1
89,90,0,3,1,24.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
90,91,0,3,1,29.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
91,92,0,3,1,20.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,0,1
92,93,0,1,1,46.0,1,0,61.175,0,0,0,0,1,0,0,0,0,0,1
93,94,0,3,1,26.0,1,2,20.575,0,0,0,0,0,0,0,0,0,0,1
94,95,0,3,1,59.0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,1
95,96,0,3,1,29.69911764705882,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
96,97,0,1,1,71.0,0,0,34.6542,1,0,0,0,0,0,0,0,1,0,0
97,98,1,1,1,23.0,0,1,63.3583,0,0,0,1,0,0,0,1,1,0,0
98,99,1,2,0,34.0,0,1,23.0,0,0,0,0,0,0,0,0,0,0,1
99,100,0,2,1,34.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,1
100,101,0,3,0,28.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1
101,102,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1
102,103,0,1,1,21.0,0,1,77.2875,0,0,0,1,0,0,0,0,0,0,1
103,104,0,3,1,33.0,0,0,8.6542,0,0,0,0,0,0,0,0,0,0,1
104,105,0,3,1,37.0,2,0,7.925,0,0,0,0,0,0,0,0,0,0,1
105,106,0,3,1,28.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1
106,107,1,3,0,21.0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,1
107,108,1,3,1,29.69911764705882,0,0,7.775,0,0,0,0,0,0,0,0,0,0,1
108,109,0,3,1,38.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1
109,110,1,3,0,29.69911764705882,1,0,24.15,0,0,0,0,0,0,0,0,0,1,0
110,111,0,1,1,47.0,0,0,52.0,0,0,1,0,0,0,0,0,0,0,1
111,112,0,3,0,14.5,1,0,14.4542,0,0,0,0,0,0,0,0,1,0,0
112,113,0,3,1,22.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,1
113,114,0,3,0,20.0,1,0,9.825,0,0,0,0,0,0,0,0,0,0,1
114,115,0,3,0,17.0,0,0,14.4583,0,0,0,0,0,0,0,0,1,0,0
115,116,0,3,1,21.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0,1
116,117,0,3,1,70.5,0,0,7.75,0,0,0,0,0,0,0,0,0,1,0
117,118,0,2,1,29.0,1,0,21.0,0,0,0,0,0,0,0,0,0,0,1
118,119,0,1,1,24.0,0,1,247.5208,0,1,0,0,0,0,0,1,1,0,0
