,"{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 0.01}}","{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 0.001}}","{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 0.0001}}","{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 1e-05}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 2, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 2, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 2, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 5, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 5, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 5, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 8, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 8, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 8, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 2, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 2, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 2, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 5, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 5, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 5, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 8, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 8, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 8, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 2, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 2, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 2, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 5, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 5, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 5, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 8, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 8, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 8, 'gamma': 1}}"
338,0.385507232,0.385507232,0.385507232,0.385507232,0.382680218,0.388606907,0.384882784,0.411941873,0.415529809,0.40801126,0.418149833,0.400521705,0.425211467,0.423290069,0.392454296,0.384882784,0.408226452,0.412103883,0.408065373,0.389395701,0.400960513,0.414234008,0.406380268,0.392454296,0.384882784,0.404530565,0.412578871,0.408065373,0.389341589,0.400960513,0.414234008
39,0.19385469,0.167894832,0.167894832,0.167894832,0.166191578,0.172464329,0.166016331,0.177751251,0.17754366,0.170173734,0.178213009,0.178189058,0.167472268,0.15295815,0.188065484,0.166016331,0.179641561,0.178355115,0.186871105,0.176147496,0.182270524,0.185098211,0.181808519,0.186048288,0.166016331,0.177316457,0.178355115,0.187507058,0.171498026,0.183199095,0.185098211
11,0.244184192,0.253580737,0.253580737,0.253580737,0.231658335,0.23276558,0.233830489,0.237176544,0.230214233,0.229112977,0.251279191,0.24319284,0.231217858,0.205721694,0.20485204,0.203731768,0.228530028,0.225316592,0.225875915,0.222457717,0.236761051,0.230152949,0.199797108,0.198215136,0.203528928,0.227934358,0.225316592,0.225875915,0.219935247,0.236761051,0.230152949
18,0.164444444,0.180277778,0.180277778,0.180277778,0.151944444,0.150277778,0.150555556,0.162222222,0.161666667,0.154444444,0.171388889,0.171666667,0.167222222,0.159444444,0.158055556,0.150277778,0.168055556,0.163888889,0.157777778,0.1725,0.169722222,0.167777778,0.160277778,0.155833333,0.150277778,0.170555556,0.163888889,0.158055556,0.1725,0.169444444,0.167777778
23,0.37432255,0.402419484,0.402419484,0.402419484,0.348895114,0.349815601,0.349732576,0.348840631,0.349858125,0.344955461,0.354097973,0.349471883,0.354989749,0.353386112,0.351776972,0.352761516,0.350345197,0.347331338,0.34372782,0.361193757,0.35764748,0.353299307,0.351818712,0.350172356,0.352761516,0.354392383,0.34771756,0.34372782,0.363956117,0.35764748,0.353744891
37,0.280362683,0.300792453,0.300792453,0.300792453,0.284055905,0.284055905,0.282204053,0.260922432,0.265774284,0.275068484,0.263027254,0.272547869,0.26861775,0.268580713,0.258173305,0.272171209,0.270852551,0.27836478,0.270512928,0.274148847,0.26507058,0.260027254,0.27165898,0.264920335,0.272284416,0.271410203,0.281251572,0.270512928,0.286591195,0.26507058,0.260027254
333,0.019707792,0.016168831,0.016168831,0.016168831,0.253636364,0.253636364,0.253636364,0,0.026785714,0.051785714,0,0,0,0.222857143,0.199545455,0.253636364,0,0.008928571,0.051785714,0,0,0,0.226461039,0.199545455,0.253636364,0,0.008928571,0.051785714,0,0,0
41,0.206029575,0.206029575,0.206029575,0.206029575,0.184288944,0.176922412,0.183401203,0.14839341,0.144403331,0.156255594,0.157660289,0.153678525,0.151730665,0.173549659,0.179124745,0.18600903,0.142162894,0.144403331,0.161421472,0.151477444,0.158301541,0.164440298,0.158349317,0.18183621,0.18600903,0.143851607,0.144403331,0.161421472,0.149066288,0.158301541,0.164440298
337,0.145230134,0.160439628,0.160439628,0.160439628,0.220914345,0.225519092,0.215690402,0.148571723,0.148571723,0.138006192,0.145952528,0.15775645,0.151834881,0.140006192,0.138084623,0.138045408,0.142610939,0.136084623,0.134084623,0.147952528,0.15575645,0.149874097,0.128821465,0.128860681,0.136084623,0.144571723,0.136084623,0.134084623,0.139386997,0.15575645,0.149874097
336,0.303825632,0.311235276,0.311235276,0.311235276,0.280514447,0.291986308,0.278566395,0.28786872,0.305995168,0.28516561,0.285377026,0.287813349,0.29393436,0.274448807,0.290249673,0.278566395,0.285377026,0.303614215,0.28516561,0.28743582,0.285432397,0.29393436,0.290249673,0.290249673,0.278566395,0.285487768,0.303614215,0.28516561,0.294578677,0.285432397,0.29393436
