,"{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 0.01}}","{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 0.001}}","{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 0.0001}}","{'algorithm': 'SkRf', 'hyperparameters': {'min_samples_split': 1e-05}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 2, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 2, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 2, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 5, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 5, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 5, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 8, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 8, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 50, 'max_depth': 8, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 2, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 2, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 2, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 5, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 5, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 5, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 8, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 8, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 125, 'max_depth': 8, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 2, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 2, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 2, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 5, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 5, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 5, 'gamma': 1}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 8, 'gamma': 0}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 8, 'gamma': 0.5}}","{'algorithm': 'XgbClf', 'hyperparameters': {'n_estimators': 200, 'max_depth': 8, 'gamma': 1}}"
338,0.182034731,0.256820202,0.19350338,0.237455845,1.253134489,1.58087492,0.935626984,3.472176313,3.555486441,2.90388751,3.781694412,2.157216787,2.36312151,3.026547194,2.02499485,1.587918997,4.090551615,2.795507431,3.906433344,7.767820597,8.337542534,7.788721561,4.253343582,3.60120225,2.59865427,5.161348581,5.115687609,5.959471464,9.084281683,6.981600523,7.738278151
39,0.082373142,0.012950897,0.070054293,43200.03418,43198.95929,1.074411631,0.927901506,0.568295956,1.26070261,1.036325455,1.142402172,1.297339678,1.215510607,1.750388861,1.639344931,1.47059226,2.021443605,2.540221453,3.246172428,2.975769997,4.011110783,3.223989964,3.170826197,3.768867493,3.010910988,4.505223989,4.574127197,3.691597462,3.563844442,3.883217096,4.262691259
11,0.175081968,0.162606716,0.168582439,0.213732243,0.336313963,0.391230822,0.370172977,0.558435202,0.608680725,0.559710979,0.83524251,0.966619968,0.870925665,0.745741606,0.862608194,43197.87838,43200.99008,1.795604467,43197.57198,43201.86001,1.76763773,2.107529879,1.237765312,1.116030931,1.416229486,3.76260829,3.443271875,5.373977184,4.614683628,6.837987185,8.65187788
18,0.412798166,0.282648087,0.316073179,0.399729252,3.966108084,43195.23504,43202.80211,7.084574461,7.19074297,10.67266798,16.60156465,13.02466106,9.891081333,15.58195233,15.12076616,10.46587729,17.86059546,16.57337713,15.59594274,23.3229723,43175.93955,17.93920231,8.923838854,8.193128347,43192.25051,43213.50099,9.819891453,43188.32507,43217.22435,12.78891635,43184.40007
23,0.146061182,0.212607861,0.347284079,0.240847588,1.327318668,1.305503368,1.447100878,2.767578125,43195.36084,3.255593538,43204.22006,4.719344854,7.074219704,7.04921031,5.787154913,8.086498737,12.82259202,8.970602036,9.242120028,22.650527,14.36111927,13.69228315,7.783950567,5.214972973,5.826461315,12.17850685,10.56610894,13.90160608,22.93584824,17.81473017,11.95235324
37,0.74782753,0.424943447,0.169270754,0.335465908,0.439041615,0.443443298,0.380084991,0.903985262,0.748278856,0.467237711,1.040719032,0.78387475,0.172595501,1.005895853,1.048237085,0.172678947,43197.48456,43201.01365,1.460044622,1.904814243,1.862622023,2.982039213,1.162431002,1.805756569,2.538169384,2.876809597,1.798127413,1.711238861,2.947185993,2.446314096,2.767497301
333,0.169306278,0.223988056,0.227577686,0.166431427,0.295815945,0.21344018,0.226935625,0.39606452,0.397062063,0.435244322,0.397249937,0.507297993,0.43278718,0.585347176,0.578844309,0.464404821,0.942872286,0.737598658,1.287587166,43197.9458,43199.87487,0.957389593,0.946083307,0.971301079,1.022245884,2.14857626,1.21269989,1.354292393,1.35127306,1.402115583,1.368125677
41,0.244069099,0.161901236,0.163780212,0.181672812,0.655330896,0.593272686,0.620824337,1.070121765,0.905334234,1.002034187,1.242020369,1.242759943,1.279690027,1.271500587,1.897169352,1.882740498,2.608551502,2.659677505,2.915687084,3.00942564,3.184389591,3.471054792,2.874879122,2.252637148,2.324136496,2.38293457,2.946406841,4.032840729,1.897617102,4.117541075,3.491615057
337,0.204971313,0.207516193,0.333033562,0.483623981,0.645954609,0.533777475,0.736296892,0.963243484,1.545786142,2.184924603,1.484381914,1.450816393,1.125697851,2.165638685,1.630199671,1.077789783,5.984211206,3.964443684,3.278504133,2.762410641,3.543920755,2.78956008,1.556174278,1.80136776,1.964230061,2.178946018,3.001853943,5.777769804,5.061820269,5.613883734,7.729447603
336,0.106892109,0.131957293,0.15029192,0.229886055,0.251778841,0.267628908,0.331661224,0.448899031,0.465520859,0.483829021,0.832983017,0.601347446,0.651433468,0.582075357,0.485975027,0.577431202,1.041248322,43197.49928,43200.67897,1.558465242,1.048224926,43197.39796,43200.76216,0.825926304,0.864495754,1.490628004,1.535943031,1.745709658,2.928295851,2.907483101,3.488568306
